constraint,normalized_mase_limit,normalized_mase,flops_saved_pct,native_cells,frontier_index
no worse than full,0.6966887535382917,0.696630718887604,59.82239482844381,16,99
within 0.1% of oracle,0.6904377606724175,0.690411099375794,35.27973421795767,31,29
within 0.5% of oracle,0.6931967527230566,0.6931715920358603,50.488661838162166,23,69
within 1% of oracle,0.6966454927863555,0.696630718887604,59.82239482844381,16,99
within 2% of oracle,0.703542972912953,0.7032743335916125,67.93892896907647,16,141
within 5% of oracle,0.7242354132927458,0.7240378182290982,76.99099399376455,9,243
within 10% of oracle,0.7587228139257337,0.7583624512411643,80.5016552998172,6,347
