label,normalized_mase,flops_saved_pct,source
Full/native,0.7050399597715596,0.0,logs/experiments/master_recompute/window_ablation_gifteval/TimesFM2.5-200M/strategy_comparison_v4_oracle_refresh/comparison.csv
Unconstrained oracle,0.6929677420135099,37.10489065281822,logs/experiments/master_recompute/window_ablation_gifteval/TimesFM2.5-200M/strategy_comparison_v4_oracle_refresh/comparison.csv
