constraint,normalized_mase_limit,normalized_mase,flops_saved_pct,native_cells,frontier_index
no worse than full,0.7377783513106547,0.7376663602346503,89.4031342872631,2,191
within 0.1% of oracle,0.7144794100451192,0.7144785490425365,71.9724398909515,7,31
within 0.5% of oracle,0.7173344726227221,0.7172890658346213,81.42557868153129,5,86
within 1% of oracle,0.7209033008447258,0.7206080687025432,84.55629995600636,4,121
within 2% of oracle,0.728040957288733,0.7278200723225329,87.54139618309615,2,163
within 5% of oracle,0.7494539266207545,0.7487386327074952,90.76970983358683,2,220
within 10% of oracle,0.7851422088407904,0.7837625775758059,92.94097568592323,1,288
