model,selector,max_flops_saved_at_mase_plus_0pct,max_flops_saved_at_mase_plus_0.1pct,max_flops_saved_at_mase_plus_0.5pct,max_flops_saved_at_mase_plus_1pct,max_flops_saved_at_mase_plus_2pct,max_flops_saved_at_mase_plus_5pct
Chronos2-Base,Depth-8 tree,0.3395170958112259,22.63382411990138,50.5098791369359,74.53995011697243,78.88606200041475,87.67479168896051
Chronos2-Base,ExtraTrees,0.0,33.03472411323115,64.96521681904439,74.21152546065174,81.44226159081012,89.22017870088077
Chronos2-Small,Depth-8 tree,27.939054039674037,27.939054039674037,54.64562213236719,67.00330355800492,78.67912382757993,88.42101549107385
Chronos2-Small,ExtraTrees,57.63182602896606,57.63182602896606,63.41278081529382,71.48914418049716,78.58050854543544,88.81965741176738
Chronos2-Synth,Depth-8 tree,18.637759693127343,18.637759693127343,45.41211547088182,52.349342840408575,74.75087534757436,84.2809506858463
Chronos2-Synth,ExtraTrees,25.464028753118505,54.083979824269754,64.07627583144246,69.3283609704325,75.44223800089559,85.82517665498004
ChronosBolt-Base,Depth-8 tree,10.069088347671496,20.022203748224378,32.10514666691646,32.27356588275343,47.0934330954985,55.80878461373566
ChronosBolt-Base,ExtraTrees,14.405652524699242,20.94482817138379,28.69068442803143,32.76051117167618,42.402102078490024,56.51300715377501
FlowState-R1,Depth-8 tree,0.0,0.0,28.984743072729014,40.6175854066838,52.75347035680623,75.81935646889482
FlowState-R1,ExtraTrees,0.0355045388516495,0.0355045388516495,29.706444856412507,46.57196847184104,62.67903740335736,77.8516790131095
Moirai2-Small,Depth-8 tree,0.0,30.298750323193456,39.95965951467062,60.381445114322574,82.09431516400639,87.6139963913547
Moirai2-Small,ExtraTrees,15.42680808973892,36.8734498628225,54.28382747273488,64.45061227583425,77.35781064313234,89.65045834360475
PatchTST-FM-R1,Depth-8 tree,0.0,0.0,41.80153358386405,50.22697976941708,66.45808272187863,78.80591028101831
PatchTST-FM-R1,ExtraTrees,6.688130454259456,20.0289467272593,42.52844227081554,54.77355677905877,67.712375834423,82.23393455203048
Sundial-Base-128M,Depth-8 tree,0.0,0.8181702914563216,6.033243747359373,6.80745825044683,7.708374386904171,9.369403214390227
Sundial-Base-128M,ExtraTrees,0.004331563900183966,0.7821482367193711,4.676448078727857,6.311910327312475,7.711076521243054,9.154900948304135
TiRex2,Depth-8 tree,0.13719004908390176,0.13719004908390176,29.787661446360914,38.56341875707484,53.45236650860885,63.684013138815196
TiRex2,ExtraTrees,0.0,10.490892090771919,36.26407460796217,46.26334842683612,55.282308619564006,66.68506691670686
TimesFM2.5-200M,Depth-8 tree,0.0,17.94744402142947,45.85788412471704,66.0283780131914,77.30191955371069,87.13137724395364
TimesFM2.5-200M,ExtraTrees,2.3353230831600125,30.16753354846724,59.14564944363625,70.43834058063159,79.32172061300507,88.65799808744923
Toto-2.0-313m,Depth-8 tree,0.0,0.0,24.816660848029592,31.9339198745771,46.781578796319,68.79513318175088
Toto-2.0-313m,ExtraTrees,0.0,11.7903731559738,31.59078923472626,45.399982945509635,51.739186977291205,69.4092297851205
