model,selector,method,mase_ratio,mase_change_pct,flops_saved_pct,harm5_pct,coverage_pct,n_cells,n_instances,source,on_selector_pareto,on_union_pareto
Chronos2-Base,ExtraTrees,dense_032,1.0070424969339942,0.7042496933994169,71.83676535786584,10.207877640744236,58.030917094404046,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_033,1.0074874137109289,0.748741371092887,73.01342423917036,10.741617529141598,59.45513257586088,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_034,1.0087273690666974,0.8727369066697355,74.21152546065174,11.46463461863644,60.82807411811552,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_035,1.010175566825404,1.0175566825403992,75.34202350581161,12.278744770330935,62.111559000485464,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_036,1.011419282488412,1.1419282488412064,76.3925181176847,13.059035940849512,63.392043811944646,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_037,1.0129852745979675,1.29852745979675,77.38571613756119,13.895782991234338,64.78407671454053,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_038,1.0142858643214387,1.4285864321438746,78.32682178739468,14.623982021393234,66.14474523943294,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_039,1.0148317450740394,1.4831745074039393,79.18022462281917,15.277179278782954,67.37150150821746,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_040,1.0151079194010237,1.510791940102374,79.98836927061889,15.940740417500777,68.46380005345581,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_041,1.015982661001582,1.5982661001582077,80.72984372758036,16.586028397034838,69.34009349311893,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_042,1.0183762024225897,1.837620242258975,81.44226159081012,17.203497537214517,70.06883799071615,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_043,1.020858709178236,2.0858709178235957,82.15940251243704,17.85396745741263,70.73621740150222,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_046,1.0234180703114046,2.3418070311404637,84.04459939379505,19.824195844629056,72.58044281046642,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_047,1.0266578392625783,2.6657839262578253,84.58514703778441,20.43648304414468,73.1605474311211,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_048,1.0277192763845624,2.7719276384562397,85.11533333834495,21.17150041728259,73.73110637160515,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_049,1.032870897568928,3.2870897568928026,85.57769913128072,21.83778889319202,74.25420964495525,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_050,1.0337106657816466,3.371066578164661,86.06061652255718,22.531350741017516,74.82531405287762,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_051,1.034842327386014,3.4842327386013894,86.50103179189057,23.219457914459795,75.43869218726988,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
