wall_ms,isolated_core_ms,outside_core_ms,n_core_calls,model,model_family,window_size,horizon,requested_batch_size,effective_batch_size,warmup,repeats,isolation_scope,core_fraction,status,context_normalize_patch_ms,future_patch_ms,input_embedding_ms,encoder_ms,output_projection_ms,inverse_scale_ms,model_misc_ms,encoder_fraction_of_model
19.303591921925545,17.371135711669922,1.914386548101902,1.0,Chronos2-Base,chronos2,128,48,32,32,2,5,nn_module_forward_detailed,0.8998913664321361,complete,0.4730879962444305,0.2722879946231842,0.2783999890089035,15.673343658447266,0.1853439956903457,0.0624639987945556,0.4220481365919113,0.9022636123853388
18.448003567755222,16.59107208251953,1.8499263003468516,1.0,Chronos2-Base,chronos2,512,48,32,32,2,5,nn_module_forward_detailed,0.8993424151065662,complete,0.449535995721817,0.2590720057487488,0.2959679961204529,15.00057601928711,0.1769279986619949,0.0593920014798641,0.3391678370535373,0.9041354256481002
35.25401093065739,33.104766845703125,2.1009384393692017,1.0,Chronos2-Base,chronos2,2048,48,32,32,2,5,nn_module_forward_detailed,0.9390354734619644,complete,0.5591999888420105,0.1822720021009445,0.6308159977197647,31.457279205322266,0.0604160018265247,0.0182080008089542,0.2101454678922891,0.9502341264610146
124.55490976572035,121.6911392211914,2.669773258268833,1.0,Chronos2-Base,chronos2,8192,48,32,32,2,5,nn_module_forward_detailed,0.9770079674103932,complete,0.5631999969482422,0.1884160041809082,1.6874239444732666,118.63756561279295,0.0655359998345375,0.019328000023961,0.3441987838596105,0.974907182002396
18.806949257850647,16.686975479125977,2.0858233496546745,1.0,Chronos2-Base,chronos2,128,480,32,32,2,5,nn_module_forward_detailed,0.8872771043480259,complete,0.4532159864902496,0.2632960081100464,0.290688008069992,15.07532787322998,0.2137919962406158,0.0595519989728927,0.3233273178339004,0.9034188305776542
19.31944210082293,17.178943634033203,2.142095059156418,1.0,Chronos2-Base,chronos2,512,480,32,32,2,5,nn_module_forward_detailed,0.889204954489936,complete,0.4608319997787475,0.2682240009307861,0.3192959874868393,15.641568183898926,0.1751040071249008,0.0215039998292922,0.2805127426981926,0.9105081498091312
39.71764724701643,37.37200164794922,2.3381900042295456,1.0,Chronos2-Base,chronos2,2048,480,32,32,2,5,nn_module_forward_detailed,0.9409419801611382,complete,0.5524799823760986,0.1863999962806701,0.6602879911661148,35.567359924316406,0.1904640048742294,0.0235520005226135,0.1918102279305458,0.9517113977294324
130.53318671882153,126.2453155517578,4.337796106934547,1.0,Chronos2-Base,chronos2,8192,480,32,32,2,5,nn_module_forward_detailed,0.967151103295286,complete,0.7538880109786987,0.1914239972829818,1.789856031537056,123.02438354492188,0.1996800005435943,0.0245760008692741,0.3418314177542925,0.9744867206140776
19.52024921774864,17.29840087890625,2.2096988260746,1.0,Chronos2-Base,chronos2,128,720,32,32,2,5,nn_module_forward_detailed,0.8861772555228346,complete,0.4611839950084686,0.2693119943141937,0.3552639931440353,15.628607749938965,0.2805759906768799,0.0255999993532896,0.254175016656518,0.9034712433446124
21.86162583529949,19.64841651916504,2.2149696201086044,1.0,Chronos2-Base,chronos2,512,720,32,32,2,5,nn_module_forward_detailed,0.8987628215390626,complete,0.4699839949607849,0.2703680098056793,0.3799040019512176,17.960927963256836,0.2908160090446472,0.0266239996999502,0.2391995284706354,0.9141157988857662
46.50987405329943,43.85331344604492,2.6179711297154427,1.0,Chronos2-Base,chronos2,2048,720,32,32,2,5,nn_module_forward_detailed,0.9428817931390197,complete,0.5553280115127563,0.187391996383667,0.703263983130455,41.88671875,0.3031040132045746,0.0286720003932714,0.1920635197311639,0.9551551629396368
133.3994483575225,130.206787109375,3.331147700548172,1.0,Chronos2-Base,chronos2,8192,720,32,32,2,5,nn_module_forward_detailed,0.9760669081659852,complete,0.4849280118942261,0.1740799993276596,1.7632959485054016,127.11721801757812,0.3256320059299469,0.0304959993809461,0.3246434945613146,0.9762718276029528
11.55191008001566,9.683967590332031,1.8730942383408544,1.0,Chronos2-Small,chronos2,128,48,32,32,2,5,nn_module_forward_detailed,0.8383001186171719,complete,0.4618239998817444,0.2682560086250305,0.2734079957008362,8.014847755432129,0.1821759939193725,0.0605439990758895,0.4144320338964462,0.8276409106773277
11.471170000731943,9.581536293029783,1.8989869803190231,1.0,Chronos2-Small,chronos2,512,48,32,32,2,5,nn_module_forward_detailed,0.835271057130041,complete,0.4628480076789856,0.2659200131893158,0.2693119943141937,7.911424160003662,0.1812479943037033,0.0606720000505447,0.4112001322209835,0.8256947443552379
