model,slug,method,n_seeds,mase_change_pct,mase_change_pct_seed_std,flops_saved_pct,flops_saved_pct_seed_std,harm5_rate,harm5_rate_seed_std,coverage,coverage_seed_std
Chronos2-Base,chronos2_base,balanced,5,-0.000832264219048362,0.03832514150498473,14.692031062623073,2.9375826201490893,0.007810548249322235,0.0015403895671687012,0.17775801973501193,0.045946940913070985
Chronos2-Base,chronos2_base,efficiency,5,0.5401502539910608,0.1185942877766479,69.22744989594766,4.2432266839199935,0.09678937865804098,0.011432762083281629,0.6188017171314958,0.060364154049500775
Chronos2-Base,chronos2_base,max_efficiency,5,1.0150262878358118,0.21681831238774815,75.88543495708659,3.0062619908745623,0.12666463025489694,0.013726911694837255,0.6742506641066061,0.035115898434840226
Chronos2-Small,chronos2_small,balanced,5,-0.0063297115552884975,0.01607310968896728,4.966224782197736,3.585371381504506,0.009347741889731979,0.007998768853557542,0.13921458457208005,0.10001479644996046
Chronos2-Small,chronos2_small,efficiency,5,0.15016634895907544,0.15866928394056856,53.303662037285086,4.291871986309851,0.07071684568261533,0.006684651771714394,0.4717707577584185,0.07656608699494392
Chronos2-Small,chronos2_small,max_efficiency,5,0.44344417482477194,0.31890099875805944,61.010127008961504,3.3566049901912938,0.08332396886268047,0.00877561973701741,0.5001603779245787,0.09828932748429364
Chronos2-Synth,chronos2_synth,balanced,5,-0.0672030098417542,0.10076441085301899,10.112346362242208,3.583636471247378,0.006504841129142215,0.00241157474213647,0.15239383608345833,0.05231492374418108
Chronos2-Synth,chronos2_synth,efficiency,5,0.5018512330967573,0.45787751492705453,61.2010777369877,6.261195396269216,0.10599427246693027,0.021870911606597414,0.566580662757398,0.09455077170265873
Chronos2-Synth,chronos2_synth,max_efficiency,5,1.0789109221705706,0.4076092732028307,69.40669636063924,4.959916698521865,0.14177826264830218,0.0252252148738142,0.6334837038047183,0.08533660485486627
ChronosBolt-Base,chronos_bolt_base,balanced,5,0.0017005503308764602,0.14981359579925543,4.103857703315856,4.08523658212926,0.019073281151989505,0.031009352992475186,0.22504049963182152,0.1698878282273916
ChronosBolt-Base,chronos_bolt_base,efficiency,5,0.41387410250265155,0.7350262903036463,21.463861279458257,8.225091226502956,0.09289879182916518,0.05581106878523467,0.5343704148144108,0.11673904213976923
ChronosBolt-Base,chronos_bolt_base,max_efficiency,5,0.67666323968401,0.7026069420882851,27.02931451018049,7.916779939159058,0.11941745984127414,0.05127013536524185,0.5776469304824501,0.09815416607675291
FlowState-R1,flowstate_r1,balanced,5,0.31650113736045427,0.042317047375011574,17.69420574665347,1.4700217327887373,0.057514063317634735,0.005418242135084396,0.36817111459968604,0.02026777781290223
FlowState-R1,flowstate_r1,efficiency,5,0.6477459356116233,0.07312185840833081,40.551406087833854,2.6695264658058835,0.09364588784231641,0.003132090389255578,0.42908653846153844,0.0022810625487220087
FlowState-R1,flowstate_r1,max_efficiency,5,1.4063207982991255,0.5148132785522646,51.34859735931303,3.235604360464655,0.11028966073608928,0.005292650194544843,0.4392235740450026,0.012466814364416117
Moirai2-Small,moirai2_small,balanced,5,-0.03905156059021975,0.023731463489490293,2.399006027187931,2.280372866510748,0.0089405634048491,0.002933012339275835,0.09714754491540203,0.04116630775853974
Moirai2-Small,moirai2_small,efficiency,5,0.38468822033340455,0.4427168461362946,36.5946707778884,11.04455291647153,0.08328972614686897,0.017213063879680583,0.5369162087912087,0.10959794023821243
Moirai2-Small,moirai2_small,max_efficiency,5,0.7733594210716843,0.4668635849316925,50.944206273403125,10.63581003609234,0.10798447584161866,0.019156883189804366,0.6070976146869004,0.08252468612504707
