model,slug,policy,flops_saved_pct,official_speedup_x,official_time_saved_pct,native_s,policy_s,native_coverage,policy_coverage
Chronos2-Base,chronos2_base,balanced,11.221524416253049,0.8758642306008361,-14.172946566616584,1992.292754390625,2274.659341920982,1.0,1.0
Chronos2-Base,chronos2_base,efficiency,64.96521681904439,1.0364630923617129,3.518030948755446,1992.292754390625,1922.2032787013507,1.0,1.0
Chronos2-Base,chronos2_base,max_efficiency,71.83676535786584,1.0602060745645652,5.678714356479453,1992.292754390625,1879.1561397239448,1.0,1.0
Chronos2-Small,chronos2_small,balanced,11.605605021063493,0.8797503315837342,-13.668613025674148,1028.3098899062497,1168.865589462271,1.0,1.0
Chronos2-Small,chronos2_small,efficiency,59.30146528948723,0.9589948859323667,-4.275842829731746,1028.3098899062497,1072.2788046012286,1.0,1.0
Chronos2-Small,chronos2_small,max_efficiency,65.70034142131857,0.9710740117915266,-2.9787624688985437,1028.3098899062497,1058.940798970749,1.0,1.0
Chronos2-Synth,chronos2_synth,balanced,10.348836774111492,0.8898052402782615,-12.384143712985797,2001.3772736718754,2249.2307114824375,1.0,1.0
Chronos2-Synth,chronos2_synth,efficiency,57.67519305222044,1.031478430859162,3.0517779061014716,2001.3772736718754,1940.299684216221,1.0,1.0
Chronos2-Synth,chronos2_synth,max_efficiency,68.1373436674812,1.066506775470052,6.235944955974581,2001.3772736718754,1876.5724885243126,1.0,1.0
ChronosBolt-Base,chronos_bolt_base,balanced,1.6522951875154734,0.869932937682548,-14.951389547790118,5303.548338465031,6096.502510404288,1.0,1.0
ChronosBolt-Base,chronos_bolt_base,efficiency,15.720276697099644,1.0026675768408206,0.2660479806503302,5303.548338465031,5289.43835520773,1.0,1.0
ChronosBolt-Base,chronos_bolt_base,max_efficiency,20.94482817138379,1.0576928274566297,5.454591915439211,5303.548338465031,5014.261419563706,1.0,1.0
FlowState-R1,flowstate_r1,balanced,22.59430580265257,,,,,0.5995170504099075,0.5995497557997558
FlowState-R1,flowstate_r1,efficiency,37.28448073533775,,,,,0.5995170504099075,0.6012776905634049
FlowState-R1,flowstate_r1,max_efficiency,48.97001659636145,,,,,0.5995170504099075,0.6012776905634049
Moirai2-Small,moirai2_small,balanced,0.8255977549314508,,,,,0.1888763518227804,0.1888763518227804
Moirai2-Small,moirai2_small,efficiency,34.818902721739576,,,,,0.1888763518227804,0.19126657073085646
Moirai2-Small,moirai2_small,max_efficiency,49.95982702968318,,,,,0.1888763518227804,0.1959189124367696
PatchTST-FM-R1,patchtst_fm_r1,balanced,10.190590438725645,,,,,0.0,0.0
PatchTST-FM-R1,patchtst_fm_r1,efficiency,44.46936793768354,,,,,0.0,0.0
PatchTST-FM-R1,patchtst_fm_r1,max_efficiency,51.3465204118932,,,,,0.0,0.0
Sundial-Base-128M,sundial_base_128m,balanced,0.5497662910763479,,,,,0.0,0.0
Sundial-Base-128M,sundial_base_128m,efficiency,3.3062374763056734,,,,,0.0,0.0
Sundial-Base-128M,sundial_base_128m,max_efficiency,4.191170205242633,,,,,0.0,0.0
TimesFM2.5-200M,timesfm2p5,balanced,5.38951737862342,,,,,0.0,0.0
TimesFM2.5-200M,timesfm2p5,efficiency,57.3459263568156,,,,,0.0,0.0
TimesFM2.5-200M,timesfm2p5,max_efficiency,69.02895599840288,,,,,0.0,0.0
TiRex2,tirex2,balanced,0.0,,,,,0.0,0.0
TiRex2,tirex2,efficiency,0.0,,,,,0.0,0.0
TiRex2,tirex2,max_efficiency,0.0,,,,,0.0,0.0
Toto-2.0-313m,toto_2_0_313m,balanced,0.13916428604178188,,,,,0.0,0.0
Toto-2.0-313m,toto_2_0_313m,efficiency,37.698698116843275,,,,,0.0,0.0
Toto-2.0-313m,toto_2_0_313m,max_efficiency,46.760636028298066,,,,,0.0,0.0
