model,selector,max_flops_saved_at_mase_plus_0pct,max_flops_saved_at_mase_plus_0.1pct,max_flops_saved_at_mase_plus_0.5pct,max_flops_saved_at_mase_plus_1pct,max_flops_saved_at_mase_plus_2pct,max_flops_saved_at_mase_plus_5pct
Chronos2-Base,Explainable model tree,0.0,0.0,59.250437680260085,72.89684641146637,79.63865809400697,87.77810818681952
Chronos2-Base,ExtraTrees,0.0,33.03472411323115,64.96521681904439,74.21152546065174,81.44226159081012,89.22017870088077
Chronos2-Small,Explainable model tree,0.0,63.874682631057354,70.71324168733766,73.78542177838725,81.2739838745854,88.59640398313542
Chronos2-Small,ExtraTrees,57.63182602896606,57.63182602896606,63.41278081529382,71.48914418049716,78.58050854543544,88.81965741176738
Chronos2-Synth,Explainable model tree,0.0,0.0,0.0,0.0,58.21748935860579,83.22010660846844
Chronos2-Synth,ExtraTrees,25.464028753118505,54.083979824269754,64.07627583144246,69.3283609704325,75.44223800089559,85.82517665498004
ChronosBolt-Base,Explainable model tree,0.0,0.0,0.0,0.0,27.203846424915103,50.36922268651735
ChronosBolt-Base,ExtraTrees,14.405652524699242,20.94482817138379,28.69068442803143,32.76051117167618,42.402102078490024,56.51300715377501
FlowState-R1,Explainable model tree,0.0,0.0,0.0,0.0,53.40390608206176,75.75075982120208
FlowState-R1,ExtraTrees,0.0355045388516495,0.0355045388516495,29.706444856412507,46.57196847184104,62.67903740335736,77.8516790131095
Moirai2-Small,Explainable model tree,26.112727370735346,31.44756048139269,43.103743997805125,65.70277076064784,73.81480994138623,87.84875472436737
Moirai2-Small,ExtraTrees,15.42680808973892,36.8734498628225,54.28382747273488,64.45061227583425,77.35781064313234,89.65045834360475
PatchTST-FM-R1,Explainable model tree,0.0,0.0,0.0,0.0,0.0,69.58233599059109
PatchTST-FM-R1,ExtraTrees,6.688130454259456,20.0289467272593,42.52844227081554,54.77355677905877,67.712375834423,82.23393455203048
Sundial-Base-128M,Explainable model tree,0.0,0.0,0.0,3.2961523968982442,6.54247294550192,8.59134724227838
Sundial-Base-128M,ExtraTrees,0.004331563900183966,0.7821482367193711,4.676448078727857,6.311910327312475,7.711076521243054,9.154900948304135
TiRex2,Explainable model tree,0.0,0.0,0.0,0.0,0.0,0.0
TiRex2,ExtraTrees,0.0,0.0,0.0,0.0,0.0,0.0
TimesFM2.5-200M,Explainable model tree,0.0,0.0,0.0,48.180694109358356,72.48540017097926,85.93223624080335
TimesFM2.5-200M,ExtraTrees,2.3353230831600125,30.16753354846724,59.14564944363625,70.43834058063159,79.32172061300507,88.65799808744923
Toto-2.0-313m,Explainable model tree,0.0,0.0,0.0,0.0,46.88203975804485,65.97489395786404
Toto-2.0-313m,ExtraTrees,0.0,11.7903731559738,31.59078923472626,45.399982945509635,51.739186977291205,69.4092297851205
