constraint,normalized_mase_limit,normalized_mase,flops_saved_pct,native_cells,frontier_index
no worse than full,0.7267075982829937,0.7246780305537711,84.9933920327857,5,167
within 0.1% of oracle,0.7053906013471768,0.7053897885505217,63.96126440922772,14,32
within 0.5% of oracle,0.7082093450089038,0.7081899723628474,73.76286871091816,12,74
within 1% of oracle,0.7117327745860625,0.7116399594311316,78.18820297317758,9,103
within 2% of oracle,0.71877963374038,0.7173487771336592,82.19081660642593,6,143
within 5% of oracle,0.7399202112033324,0.7395137700945883,88.46148520248295,4,212
within 10% of oracle,0.7751545069749196,0.7750664736182349,91.48379949855942,3,308
