model,selector,max_flops_saved_at_mase_plus_0pct,max_flops_saved_at_mase_plus_0.1pct,max_flops_saved_at_mase_plus_0.5pct,max_flops_saved_at_mase_plus_1pct,max_flops_saved_at_mase_plus_2pct,max_flops_saved_at_mase_plus_5pct
Chronos2-Base,ExtraTrees,0.0,33.03472411323115,64.96521681904439,74.21152546065174,81.44226159081012,89.22017870088077
Chronos2-Base,Rank-distilled depth-8 tree,0.0,36.6659427885034,52.071219719764414,69.75902959645235,81.44888530688583,87.83533978801042
Chronos2-Small,ExtraTrees,57.63182602896606,57.63182602896606,63.41278081529382,71.48914418049716,78.58050854543544,88.81965741176738
Chronos2-Small,Rank-distilled depth-8 tree,19.480598503947576,19.480598503947576,67.77166031680173,71.75293998701424,78.01657213450468,87.13178506912688
Chronos2-Synth,ExtraTrees,25.464028753118505,54.083979824269754,64.07627583144246,69.3283609704325,75.44223800089559,85.82517665498004
Chronos2-Synth,Rank-distilled depth-8 tree,27.38052944490064,27.38052944490064,47.54940256859589,61.21958361601936,70.16633402779593,86.3131718216931
ChronosBolt-Base,ExtraTrees,14.405652524699242,20.94482817138379,28.69068442803143,32.76051117167618,42.402102078490024,56.51300715377501
ChronosBolt-Base,Rank-distilled depth-8 tree,15.527922542703433,15.527922542703433,28.761300970831314,32.82094271695548,43.57349551569985,60.46794499461987
FlowState-R1,ExtraTrees,0.0355045388516495,0.0355045388516495,29.706444856412507,46.57196847184104,62.67903740335736,77.8516790131095
FlowState-R1,Rank-distilled depth-8 tree,0.0,0.0,28.924813535989134,39.86544505220863,51.96604175861275,71.01019757836924
Moirai2-Small,ExtraTrees,15.42680808973892,36.8734498628225,54.28382747273488,64.45061227583425,77.35781064313234,89.65045834360475
Moirai2-Small,Rank-distilled depth-8 tree,13.477416564299272,27.872095718082136,48.67561380226885,50.224679856422306,50.224679856422306,87.78371476008222
PatchTST-FM-R1,ExtraTrees,6.688130454259456,20.0289467272593,42.52844227081554,54.77355677905877,67.712375834423,82.23393455203048
PatchTST-FM-R1,Rank-distilled depth-8 tree,0.0,12.623466012017337,47.52381017526115,59.35992884011797,69.09387734914088,82.18229208118125
Sundial-Base-128M,ExtraTrees,0.004331563900183966,0.7821482367193711,4.676448078727857,6.311910327312475,7.711076521243054,9.154900948304135
Sundial-Base-128M,Rank-distilled depth-8 tree,0.0,2.6261791558304104,2.6261791558304104,5.993630187015309,7.777301460501651,9.114784375534901
TiRex2,ExtraTrees,0.0,10.490892090771919,36.26407460796217,46.26334842683612,55.282308619564006,66.68506691670686
TiRex2,Rank-distilled depth-8 tree,0.0,10.314615956167971,26.74302650289929,41.25181474482714,54.03214945099351,64.78232132902096
TimesFM2.5-200M,ExtraTrees,2.3353230831600125,30.16753354846724,59.14564944363625,70.43834058063159,79.32172061300507,88.65799808744923
TimesFM2.5-200M,Rank-distilled depth-8 tree,14.618206598917439,26.798407988722794,51.58748438330802,57.60114010547841,73.54320079836177,86.73944517670513
Toto-2.0-313m,ExtraTrees,0.0,11.7903731559738,31.59078923472626,45.399982945509635,51.739186977291205,69.4092297851205
Toto-2.0-313m,Rank-distilled depth-8 tree,0.0,14.040869218618202,35.7602028472302,38.8620884458096,46.9778582963863,67.28838123605618
