constraint,normalized_mase_limit,normalized_mase,flops_saved_pct,native_cells,frontier_index
no worse than full,0.7352280546077214,0.7345886176519595,83.3801216818627,9,153
within 0.1% of oracle,0.7163658821942406,0.7163595573889647,60.54242882393361,19,31
within 0.5% of oracle,0.7192284831220898,0.7191206515822324,71.7402168211334,16,69
within 1% of oracle,0.7228067342819012,0.7225634231802016,76.85972172605074,15,95
within 2% of oracle,0.729963236601524,0.729764804346298,81.49553238526184,9,135
within 5% of oracle,0.7514327435603924,0.7475535646191652,86.70716258029154,8,191
within 10% of oracle,0.7872152551585063,0.7869038426826488,90.73324554173668,4,273
