profile,n_cells,n_instances_sum,mean_coverage_pct,mean_flops_saved_pct,pooled_harm5_pct,model_geomean_mase_ratio,mean_mase_reduction_pct,mean_context_saved_pct
conservative,1067,4019598,6.425145816758202,4.772610950339127,0.7016870841312987,1.00015208985246,-0.01520898524600689,4.644697150112019
balanced,1067,4019598,17.772453926906188,9.037388956425305,1.5300783809724257,1.0001421159361479,-0.014211593614787965,9.624695541184535
aggressive,1067,4019598,29.70150568339091,19.310386711601772,3.0168688510642108,1.0004716516191194,-0.047165161911943976,20.321128819371488
extreme,1067,4019598,49.20881368338551,45.430022952947695,8.520478913562998,1.004007270123634,-0.4007270123633999,49.61574270680947
very_extreme,1067,4019598,56.010756669902364,52.57125668844249,11.15173706425369,1.0079521615890863,-0.7952161589086293,58.19259784751517
