label,normalized_mase,cell_flops_saved_pct,kind
Full/native,0.7267075982829937,0.0,baseline
Minimum-MASE oracle,0.7046807947192586,53.88173514478686,oracle
Within 0.1% of oracle,0.7053846626688457,65.12088835012626,oracle
Within 0.5% of oracle,0.7081848266932381,74.89364325339858,oracle
Within 1% of oracle,0.7116187006993800,79.24503226730117,oracle
Within 2% of oracle,0.7173435639490550,83.18867733236237,oracle
No worse than full,0.7231506386115856,85.47501147069813,oracle
Within 5% of oracle,0.7395137704961000,89.29688823120341,oracle
Within 10% of oracle,0.7750664740525486,92.20631636261034,oracle
Minimum-compute endpoint,1.0460495402863270,94.88993347170015,oracle
