constraint,normalized_mase_limit,normalized_mase,flops_saved_pct,native_cells,frontier_index
no worse than full,0.8095856948197846,0.8090470461907519,75.87271866279912,12,137
within 0.1% of oracle,0.7755670264193889,0.7755522349814009,42.641967200959726,18,23
within 0.5% of oracle,0.7786661953561298,0.7786016541983491,57.10596397302666,16,49
within 1% of oracle,0.7825401565270559,0.7822943888911723,63.9330584628905,16,70
within 2% of oracle,0.790288078868908,0.79025181059289,70.16017609988955,15,95
within 5% of oracle,0.813531845894464,0.8128064482204314,76.52174824916833,12,143
within 10% of oracle,0.8522714576037242,0.8492598348298022,80.04744438676552,10,187
