cell,window,mase,naive_mase,normalized_mase,flops,flops_weighting,is_native,within_cell_pareto
JenaWeather-10T/tshort,native,0.2760741699016764,0.7428874675800381,0.37162313533298685,106660044800.0,cell,True,False
JenaWeather-10T/tshort,32,0.37877072780010607,0.7428874675800381,0.5098628585483542,590284800.0,cell,False,True
JenaWeather-10T/tshort,48,0.3803467679973079,0.7428874675800381,0.5119843645179404,787251200.0,cell,False,False
JenaWeather-10T/tshort,64,0.3537621485527042,0.7428874675800381,0.47619883763160964,787251200.0,cell,False,True
JenaWeather-10T/tshort,96,0.3608889228471526,0.7428874675800381,0.485792180641775,984320000.0,cell,False,False
JenaWeather-10T/tshort,128,0.3560607332872513,0.7428874675800381,0.47929296000526433,1181491200.0,cell,False,False
JenaWeather-10T/tshort,192,0.33745578864568776,0.7428874675800381,0.45424886456215596,1576140800.0,cell,False,True
JenaWeather-10T/tshort,256,0.31305768537057493,0.7428874675800381,0.4214066046777756,1971200000.0,cell,False,True
JenaWeather-10T/tshort,384,0.30907024466504635,0.7428874675800381,0.4160391151459926,2762547200.0,cell,False,True
JenaWeather-10T/tshort,512,0.3070852659113165,0.7428874675800381,0.41336713743691117,3555532800.0,cell,False,True
JenaWeather-10T/tshort,768,0.3005706216467231,0.7428874675800381,0.4045977819841736,5146419200.0,cell,False,True
JenaWeather-10T/tshort,1024,0.30486317723085865,0.7428874675800381,0.4103759863172183,6743859200.0,cell,False,False
JenaWeather-10T/tshort,1536,0.3079091997227166,0.7428874675800381,0.41447623383085636,9958400000.0,cell,False,False
JenaWeather-10T/tshort,2048,0.2955624995627063,0.7428874675800381,0.39785635437558736,13199155200.0,cell,False,True
JenaWeather-10T/tshort,2560,0.2863399933778978,0.7428874675800381,0.3854419489813883,16466124800.0,cell,False,True
JenaWeather-10T/tshort,3072,0.285192439200482,0.7428874675800381,0.38389722757000955,19759308800.0,cell,False,True
JenaWeather-10T/tshort,4096,0.28135131448408934,0.7428874675800381,0.3787266938296772,26424320000.0,cell,False,True
JenaWeather-10T/tshort,6144,0.2759393652836096,0.7428874675800381,0.37144167498542446,40068915200.0,cell,False,True
JenaWeather-10T/tshort,8192,0.2748661844331885,0.7428874675800381,0.369997067427409,54132940800.0,cell,False,True
JenaWeather-10T/tshort,12288,0.2749180289996113,0.7428874675800381,0.37006685534103706,83519283200.0,cell,False,False
JenaWeather-10T/tshort,15360,0.27607417086305924,0.7428874675800381,0.3716231366271033,106660044800.0,cell,False,False
JenaWeather-10T/tmedium,native,0.627040551382869,0.7160100391723763,0.8757426810770061,109866240000.0,cell,True,False
JenaWeather-10T/tmedium,32,0.7407774986388447,0.7160100391723763,1.0345909388297079,3158835200.0,cell,False,True
JenaWeather-10T/tmedium,48,0.7064147604081759,0.7160100391723763,0.986598960574224,3357132800.0,cell,False,False
JenaWeather-10T/tmedium,64,0.6995115817776579,0.7160100391723763,0.9769577848185081,3357132800.0,cell,False,True
JenaWeather-10T/tmedium,96,0.7552859801302217,0.7160100391723763,1.054853897025304,3555532800.0,cell,False,False
JenaWeather-10T/tmedium,128,0.6714323722133113,0.7160100391723763,0.9377415615420819,3754035200.0,cell,False,True
JenaWeather-10T/tmedium,192,0.6571338832220112,0.7160100391723763,0.9177718848489624,4151347200.0,cell,False,True
JenaWeather-10T/tmedium,256,0.6681378757838466,0.7160100391723763,0.9331403740597489,4549068800.0,cell,False,False
JenaWeather-10T/tmedium,384,0.6717172993510484,0.7160100391723763,0.9381394988923268,5345740800.0,cell,False,False
JenaWeather-10T/tmedium,512,0.6596331891986593,0.7160100391723763,0.9212624867119433,6144051200.0,cell,False,False
JenaWeather-10T/tmedium,768,0.6553635114482979,0.7160100391723763,0.9152993332409435,7745587200.0,cell,False,True
JenaWeather-10T/tmedium,1024,0.6365457552947683,0.7160100391723763,0.889017919400321,9353676800.0,cell,False,True
JenaWeather-10T/tmedium,1536,0.6418225210839095,0.7160100391723763,0.8963876006903215,12589516800.0,cell,False,False
JenaWeather-10T/tmedium,2048,0.6493886689493014,0.7160100391723763,0.906954698149091,15851571200.0,cell,False,False
JenaWeather-10T/tmedium,2560,0.6387515112075578,0.7160100391723763,0.8920985408890073,19139840000.0,cell,False,False
JenaWeather-10T/tmedium,3072,0.6270921180361668,0.7160100391723763,0.8758147005327074,22454323200.0,cell,False,True
JenaWeather-10T/tmedium,4096,0.6187397441135617,0.7160100391723763,0.8641495373846327,29161932800.0,cell,False,True
JenaWeather-10T/tmedium,6144,0.6296865907727943,0.7160100391723763,0.8794382150013403,42891724800.0,cell,False,False
JenaWeather-10T/tmedium,8192,0.6357633938283053,0.7160100391723763,0.8879252511084528,57040947200.0,cell,False,False
JenaWeather-10T/tmedium,12288,0.6310003746199748,0.7160100391723763,0.8812730829156213,86597683200.0,cell,False,False
JenaWeather-10T/tmedium,15360,0.6270405541753448,0.7160100391723763,0.8757426849770573,109866240000.0,cell,False,False
JenaWeather-10T/tlong,native,0.6748793057656505,0.7614923703210493,0.8862587887533498,111847884800.0,cell,True,False
JenaWeather-10T/tlong,32,0.7380304898173577,0.7614923703210493,0.9691896052828475,4748083200.0,cell,False,True
JenaWeather-10T/tlong,48,0.7363278831327293,0.7614923703210493,0.9669537238072254,4947200000.0,cell,False,True
JenaWeather-10T/tlong,64,0.7656422809351382,0.7614923703210493,1.005449707411171,4947200000.0,cell,False,False
JenaWeather-10T/tlong,96,0.7981305024478025,0.7614923703210493,1.0481135905686176,5146419200.0,cell,False,False
JenaWeather-10T/tlong,128,0.7225691518255551,0.7614923703210493,0.9488856093474923,5345740800.0,cell,False,True
JenaWeather-10T/tlong,192,0.7098540215120173,0.7614923703210493,0.9321879629768831,5744691200.0,cell,False,True
JenaWeather-10T/tlong,256,0.672839688706321,0.7614923703210493,0.8835803416160929,6144051200.0,cell,False,True
JenaWeather-10T/tlong,384,0.6431163234077057,0.7614923703210493,0.8445472974818703,6944000000.0,cell,False,True
JenaWeather-10T/tlong,512,0.6650773529644637,0.7614923703210493,0.8733867585358255,7745587200.0,cell,False,False
JenaWeather-10T/tlong,768,0.6770257577025639,0.7614923703210493,0.8890775326049901,9353676800.0,cell,False,False
JenaWeather-10T/tlong,1024,0.6826403466897277,0.7614923703210493,0.8964506714649325,10968320000.0,cell,False,False
JenaWeather-10T/tlong,1536,0.6834643621068522,0.7614923703210493,0.8975327774048477,14217267200.0,cell,False,False
JenaWeather-10T/tlong,2048,0.6717976758067317,0.7614923703210493,0.8822119590292128,17492428800.0,cell,False,False
JenaWeather-10T/tlong,2560,0.6645881390833912,0.7614923703210493,0.8727443175867898,20793804800.0,cell,False,False
JenaWeather-10T/tlong,3072,0.6560749694980388,0.7614923703210493,0.8615647313989948,24121395200.0,cell,False,False
JenaWeather-10T/tlong,4096,0.6506776221524805,0.7614923703210493,0.8544768766076425,30855219200.0,cell,False,False
JenaWeather-10T/tlong,6144,0.6722707160574208,0.7614923703210493,0.8828331605922562,44637440000.0,cell,False,False
JenaWeather-10T/tlong,8192,0.6842412180856154,0.7614923703210493,0.8985529530612836,58839091200.0,cell,False,False
JenaWeather-10T/tlong,12288,0.6796630238024597,0.7614923703210493,0.892540818913143,88500684800.0,cell,False,False
JenaWeather-10T/tlong,15360,0.6748793105120743,0.7614923703210493,0.8862587949864048,111847884800.0,cell,False,False
JenaWeather-H/tshort,native,0.5256784592791232,0.7229102185557323,0.7271697726577319,54970532378.947365,cell,True,False
JenaWeather-H/tshort,32,0.647179393257124,0.7229102185557323,0.8952417280116647,590284800.0,cell,False,True
JenaWeather-H/tshort,48,0.5956865770142967,0.7229102185557323,0.8240118367732999,787251200.0,cell,False,True
JenaWeather-H/tshort,64,0.5974825790701508,0.7229102185557323,0.8264962421804364,787251200.0,cell,False,False
JenaWeather-H/tshort,96,0.5768959253987958,0.7229102185557323,0.7980187727202812,984320000.0,cell,False,True
JenaWeather-H/tshort,128,0.5500873427204079,0.7229102185557323,0.7609345235420811,1181491200.0,cell,False,True
JenaWeather-H/tshort,192,0.5457897324955188,0.7229102185557323,0.754989649455953,1576140800.0,cell,False,True
JenaWeather-H/tshort,256,0.5383466789077813,0.7229102185557323,0.7446936909860236,1971200000.0,cell,False,True
JenaWeather-H/tshort,384,0.5436897164267567,0.7229102185557323,0.7520847021819228,2762547200.0,cell,False,False
JenaWeather-H/tshort,512,0.5357533802598237,0.7229102185557323,0.741106387083834,3555532800.0,cell,False,True
JenaWeather-H/tshort,768,0.5221291351947532,0.7229102185557323,0.7222600010245948,5146419200.0,cell,False,True
JenaWeather-H/tshort,1024,0.5218813048516208,0.7229102185557323,0.7219171778955655,6743859200.0,cell,False,True
JenaWeather-H/tshort,1536,0.5273507831038627,0.7229102185557323,0.7294830942595217,9958400000.0,cell,False,False
JenaWeather-H/tshort,2048,0.5233870306717369,0.7229102185557323,0.7240000448705605,13199155200.0,cell,False,False
JenaWeather-H/tshort,2560,0.5275344614481413,0.7229102185557323,0.7297371760798694,16466124800.0,cell,False,False
JenaWeather-H/tshort,3072,0.5260242490776045,0.7229102185557323,0.7276481028702612,19759308800.0,cell,False,False
JenaWeather-H/tshort,4096,0.530493949908258,0.7229102185557323,0.7338310294853855,26424320000.0,cell,False,False
JenaWeather-H/tshort,6144,0.5279930827803914,0.7229102185557323,0.730371585886894,40068915200.0,cell,False,False
JenaWeather-H/tshort,8192,0.526474079246723,0.7229102185557323,0.728270351882064,54132940800.0,cell,False,False
JenaWeather-H/tmedium,native,0.7295762140396305,0.8886133410507664,0.8210277522695327,56259200000.0,cell,True,True
JenaWeather-H/tmedium,32,0.7857319890677648,0.8886133410507664,0.884222589026914,3158835200.0,cell,False,True
JenaWeather-H/tmedium,48,0.7735143194527541,0.8886133410507664,0.870473448595865,3357132800.0,cell,False,True
JenaWeather-H/tmedium,64,0.7987867140470736,0.8886133410507664,0.8989137087482001,3357132800.0,cell,False,False
JenaWeather-H/tmedium,96,0.9045643853938883,0.8886133410507664,1.0179504893818723,3555532800.0,cell,False,False
JenaWeather-H/tmedium,128,0.9436436679624544,0.8886133410507664,1.0619283150156353,3754035200.0,cell,False,False
JenaWeather-H/tmedium,192,0.9572662789079706,0.8886133410507664,1.0772585045549998,4151347200.0,cell,False,False
JenaWeather-H/tmedium,256,0.9000003745751013,0.8886133410507664,1.0128143850629903,4549068800.0,cell,False,False
JenaWeather-H/tmedium,384,0.838424632797875,0.8886133410507664,0.9435201949663008,5345740800.0,cell,False,False
JenaWeather-H/tmedium,512,0.8309067925087684,0.8886133410507664,0.9350600020547056,6144051200.0,cell,False,False
JenaWeather-H/tmedium,768,0.7845462045003616,0.8886133410507664,0.8828881677295689,7745587200.0,cell,False,False
JenaWeather-H/tmedium,1024,0.8419410505761465,0.8886133410507664,0.9474773916634756,9353676800.0,cell,False,False
JenaWeather-H/tmedium,1536,0.8120936754345272,0.8886133410507664,0.9138886824209095,12589516800.0,cell,False,False
JenaWeather-H/tmedium,2048,0.7825570263568887,0.8886133410507664,0.8806496483966038,15851571200.0,cell,False,False
JenaWeather-H/tmedium,2560,0.7806888943642207,0.8886133410507664,0.8785473482100468,19139840000.0,cell,False,False
JenaWeather-H/tmedium,3072,0.7705915543474503,0.8886133410507664,0.8671843182505478,22454323200.0,cell,False,True
JenaWeather-H/tmedium,4096,0.7702287303439158,0.8886133410507664,0.8667760146760083,29161932800.0,cell,False,True
